area,cement_kg,steel_kg,labor_hours,location_index,total_cost
2844,308,42535,586,2,2576256
2728,351,45532,979,1,2576608
2147,308,48443,941,1,2065137
1858,314,45549,703,0,1560022
1776,312,47202,835,2,1798429
1281,321,48952,612,1,1210303
1527,315,42457,805,0,1476191
1831,331,44738,533,2,1770003
1142,301,45369,618,0,987824
2247,325,47483,820,0,1975289
1326,313,48861,718,2,1504426
2696,358,46135,556,1,2433737
1458,337,49983,587,2,1479581
2873,333,45696,875,2,2685918
1619,307,45411,561,2,1677038
1205,335,47635,528,1,1260846
2373,320,46069,703,2,2182069
2611,355,48251,488,1,2316655
1304,345,45387,561,0,1159445
978,342,45185,435,1,966639
931,355,45238,626,0,959375
2646,327,42260,550,0,2179626
2278,345,47737,992,2,2283074
1571,343,43247,446,1,1353370
2229,347,45333,630,0,1894826
2923,305,45322,938,0,2547469
1378,319,44573,564,1,1270047
2315,330,48853,986,1,2280774
993,332,42125,973,0,973948
2807,343,43229,465,0,2320188
1985,306,45211,479,1,1768942
2184,307,45133,539,1,2004045
2592,308,43306,799,0,2298500
1910,301,44101,529,2,1831349
2736,316,48489,845,1,2494281
1579,351,49691,428,0,1391043
1061,344,42135,601,0,918349
1529,336,44377,636,2,1565682
1082,341,49311,998,1,1155653
2290,343,43459,738,0,1923265
1161,316,49449,798,2,1319806
1240,352,46231,838,1,1332564
2940,337,49656,688,2,2713609
2444,334,42812,651,0,1977797
1666,359,49900,499,2,1632693
2247,346,42851,984,0,1971306
941,338,43744,821,0,1027261
2114,329,43938,417,2,1978486
2255,305,49568,870,2,2117514
2675,303,42870,406,0,2238346
2647,350,49035,818,2,2535378
2512,336,47568,779,1,2291903
1500,334,42634,907,1,1462230
1797,357,47747,513,2,1739891
2896,356,42668,910,2,2759144
2125,308,43293,995,1,2023786
1680,305,45088,868,0,1638614
2013,312,42268,492,0,1733529
1959,358,42860,891,1,1791185
1354,321,42481,501,0,1193713
1203,327,45290,892,2,1333513
1691,329,45390,935,2,1683169
1401,351,43261,884,1,1426002
2630,335,49712,878,1,2380415
1140,301,44332,566,1,1152154
2768,357,49204,539,1,2536475
1503,335,42102,493,0,1315495
1117,307,45794,580,0,1080756
2186,344,47549,975,0,1956174
2600,341,46887,403,2,2403111
2167,349,47773,788,2,2119416
2372,308,46334,671,1,2165204
1616,300,48884,531,1,1512309
1352,312,44692,983,0,1370787
1655,349,49292,992,0,1576374
2612,314,47684,911,0,2298051
982,331,45671,451,1,1042345
2374,333,49777,689,0,2065055
1196,342,42881,845,1,1303022
2527,330,48750,636,1,2211188
2317,313,44235,890,2,2358253
1706,353,46983,679,2,1731563
2156,346,47375,443,1,1878376
2974,313,49752,758,0,2588877
800,347,45034,967,1,1019934
818,354,47019,925,1,910557
1383,328,46889,861,1,1376098
1255,346,44577,500,1,1276504
2836,318,42675,860,2,2689195
1932,326,44439,667,2,1877739
2752,308,43681,761,1,2461109
2950,336,47587,807,2,2680436
1787,336,47945,436,2,1689003
1319,342,43276,867,0,1166382
1658,327,46767,658,2,1661608
973,351,49004,908,2,1216330
2166,356,49728,708,1,1983849
1526,323,45247,672,2,1631702
2510,327,48609,509,2,2298715
2675,335,46934,659,2,2418693
2481,351,45648,667,1,2298057
2147,317,49131,431,1,1942924
1789,324,43312,576,2,1828302
1219,334,43073,503,1,1179975
1393,303,46099,635,1,1440683
2574,313,43654,492,0,2123781
1735,338,48995,600,2,1715436
1907,325,48004,996,0,1766233
1936,307,49667,434,2,1832457
1131,323,45747,516,2,1240101
2888,315,46088,857,0,2564544
2593,319,49390,870,0,2288123
1758,314,43893,798,2,1777171
904,306,49835,996,0,1003998
1001,357,48018,516,0,952274
2642,316,43285,761,1,2385529
2666,321,49852,603,2,2470441
2796,321,42534,545,1,2447720
2089,353,49046,843,2,2104509
1709,311,45447,696,1,1670526
1009,317,47180,980,2,1287033
1362,355,43379,886,1,1410399
2363,345,42645,630,2,2210700
1570,346,42023,602,1,1514440
1428,314,47412,761,0,1286925
2428,336,46652,794,2,2330769
2501,315,48834,647,0,2221323
1186,304,46451,839,1,1295507
2735,301,48103,795,2,2612126
1904,351,46965,755,1,1795314
1067,327,49084,800,1,1179655
2656,356,46670,640,0,2243229
2798,340,46124,740,2,2534923
2180,353,48500,628,1,2005694
2036,326,42364,942,0,1818967
1373,330,44655,938,0,1396174
848,340,42408,928,0,966858
1950,335,49433,666,0,1680444
1022,346,43314,528,1,1079565
2231,342,48710,619,1,1931843
2328,300,47272,481,1,2095293
2619,349,42218,960,2,2524564
2261,328,48316,952,2,2170781
1930,300,46703,419,0,1655725
2481,307,49802,726,1,2203914
1174,356,47131,436,0,1091508
2920,315,43539,781,1,2621615
2821,357,45433,438,2,2641431
1853,327,46953,508,0,1528501
2689,321,43602,828,1,2393806
2623,317,44704,463,1,2287070
2274,321,47064,574,1,2079281
1979,340,47596,431,0,1704707
1864,311,45648,930,2,1918572
2870,318,43105,505,1,2484753
1159,324,47736,881,0,1029225
2841,349,47812,605,1,2478034
1941,358,45411,646,0,1774850
2435,304,44488,488,2,2234229
2203,358,42616,715,1,2036421
2743,333,46321,410,0,2300729
1478,338,44418,448,1,1402525
806,358,42027,972,0,794537
2391,309,45055,570,2,2287656
1632,346,47090,542,2,1631041
2610,356,42015,606,0,2346715
1713,306,45348,862,2,1743987
2811,359,42332,908,1,2601439
2242,336,46578,600,2,2115662
2250,346,49977,404,1,2099058
2302,351,46661,610,2,2222351
925,359,49455,428,2,984231
1616,351,44161,589,1,1602918
2629,314,44085,587,2,2479470
1375,341,46549,549,1,1308144
2215,323,45953,924,1,1996886
1729,325,44789,765,2,1816827
2263,325,46261,556,2,2228857
1632,345,48837,479,1,1579489
1854,325,44252,672,0,1681757
2448,357,46973,917,2,2392228
2700,309,42244,631,2,2558827
2257,316,43894,559,0,1924491
2199,352,43356,743,0,1839003
1242,313,42942,688,2,1389098
2922,301,45467,604,2,2697626
1356,347,48964,704,2,1377666
1978,312,48650,759,0,1645023
2837,326,48048,799,2,2654573
1162,308,49067,848,0,1111736
2057,306,45192,505,0,1754419
2641,347,47378,481,1,2360066
2650,309,43745,741,0,2250767
2972,355,46505,820,1,2698363
1710,353,44357,448,0,1514412
1044,308,45879,605,0,843158
1341,321,45777,617,1,1313394
2969,322,44115,835,1,2672717
2972,306,48257,721,1,2679329
2372,347,44267,630,1,2172825
923,308,44267,886,1,947880
2531,326,43496,828,1,2315832
1585,323,48873,683,1,1512663
2843,328,44796,885,0,2526022
1596,316,49086,675,0,1372577
876,319,46481,832,1,987669
858,306,49465,584,2,1067012
2323,342,42929,615,1,2140813
2736,339,49773,496,2,2502207
2956,306,45324,518,0,2547220
2101,327,46500,764,0,1818045
867,318,46587,802,2,1111166
2732,319,42356,796,0,2409896
1164,343,49595,857,1,1156301
1620,338,46310,717,2,1726075
2202,339,46064,781,2,2056928
1746,306,47499,541,0,1543736
2377,305,45841,856,2,2269193
2177,324,45930,900,2,2193010
2239,340,46847,722,2,2173774
1561,358,42826,667,0,1493927
1140,312,47333,886,2,1366370
1182,338,47217,559,2,1285614
1803,339,48671,413,1,1707067
2356,321,49059,554,1,2111396
1099,348,42665,500,2,1146405
938,316,49695,971,0,942498
1158,347,48853,442,2,1231296
1635,321,44028,592,0,1291461
2322,333,45691,710,1,2190002
2427,307,44582,864,1,2229357
2782,348,42553,562,2,2607857
2103,344,47668,750,0,1862392
1708,317,42327,633,0,1436017
1934,323,49045,802,0,1732625
2986,359,43188,750,2,2755076
1795,353,49283,566,0,1537493
2951,359,42149,547,1,2572849
2037,341,49685,427,0,1738344
2584,301,47151,658,0,2095852
964,301,46752,997,2,1208327
1798,326,44853,841,2,1857585
2107,313,43936,926,2,2115889
1456,347,46388,610,2,1494716
2709,338,49062,942,2,2675613
2846,352,44736,844,0,2493222
2911,352,42956,852,0,2500202
1940,355,45248,803,2,1872931
2689,311,47180,465,2,2396221
1066,331,47708,804,0,1054914
2645,327,42415,974,2,2567484
2508,354,45454,834,1,2301658
2310,327,44645,627,0,1991386
1275,345,45774,875,1,1299872
1776,324,48150,867,0,1639846
2007,303,47013,500,0,1686651
1843,325,42084,822,0,1658280
2760,335,48917,755,0,2385271
1357,349,47052,538,0,1244194
1817,302,47517,968,0,1626137
2405,300,43935,530,0,1999177
1682,316,47890,948,2,1758278
2994,306,43416,867,2,2798592
1465,347,43070,879,2,1569192
2571,304,45412,510,1,2142852
1663,318,43521,552,0,1477680
1381,338,48749,641,2,1583195
1494,345,43501,678,2,1598310
2051,333,46091,762,2,1916653
2410,334,48569,807,0,2090687
2039,348,44473,574,0,1758082
1198,315,42735,534,1,1169178
2746,339,44838,905,1,2437288
1514,349,44562,693,0,1327054
1503,346,47248,894,1,1549916
2514,338,45906,818,2,2433647
2772,326,43272,605,1,2453644
881,340,46836,717,2,1117288
1403,337,43862,472,1,1305194
2770,349,46226,658,2,2552531
2510,349,43763,757,1,2262992
2846,324,47808,547,1,2429610
1702,325,46418,624,0,1494500
1164,355,42822,504,0,1135926
962,313,42542,955,2,1256932
2663,313,48209,755,0,2307731
915,313,44765,937,2,1128590
1680,324,49268,660,0,1585573
1639,335,47951,970,0,1514413
2994,303,44078,972,2,2783233
2146,346,42884,469,1,1980043
1836,314,46286,846,2,1772773
1742,331,45649,846,2,1778366
2524,317,46510,656,2,2367618
1937,313,47934,930,0,1781809
821,357,48890,518,0,753524
2549,300,47909,465,0,2143488
1482,341,49881,644,2,1541115
2633,319,45571,456,1,2305384
925,309,45933,443,1,939369
1076,309,47856,923,2,1307274
2799,358,45666,823,2,2655316
2027,323,47165,935,1,1955366
1495,333,49256,794,0,1294200
2109,327,43721,849,2,2099211
856,326,42374,656,1,894506
818,339,49868,760,1,1027911
912,300,49413,779,1,1004881
1341,332,42557,842,0,1252251
1378,303,43280,933,1,1484428
1888,306,45423,873,1,1865271
824,308,48040,556,1,878743
2372,315,47692,488,2,2156886
2848,304,43128,601,2,2529931
2372,333,43360,861,2,2238413
940,359,45597,880,1,1066560
2567,322,47420,956,1,2358258
1447,342,43100,853,0,1302764
1000,349,43534,869,1,1075994
1056,324,47349,779,0,1107383
1346,356,47798,800,1,1415360
1601,350,44625,478,0,1485997
1741,312,46127,950,2,1768522
1213,323,43631,785,1,1288261
2814,310,42057,742,0,2454468
2181,351,43127,844,2,2208880
1898,350,42311,451,2,1830909
1709,316,45717,650,1,1578433
987,336,47848,728,0,911696
2815,312,49234,893,0,2450458
2113,326,44001,749,0,1864768
2892,319,44737,858,2,2719258
2930,332,47493,897,0,2474954
1946,341,47878,524,2,1948132
1157,331,45877,603,0,999697
2351,307,44282,420,2,2249113
1889,355,48786,989,1,1815483
2480,328,45183,962,2,2489596
961,339,47508,761,0,855407
1249,318,43431,760,2,1430217
2297,305,45125,515,0,1908822
1836,343,46897,454,1,1626319
2958,359,46334,691,2,2809989
2750,338,43775,450,1,2448923
2113,347,43318,653,2,1968789
2038,340,46207,891,2,2040316
1773,320,45159,972,1,1803555
1431,356,49907,624,1,1420311
2390,321,48619,868,2,2308057
1850,341,48447,502,2,1859838
2388,309,43328,447,2,2238015
2493,309,46385,741,1,2179707
1236,351,48351,632,0,1142387
2356,328,49011,981,1,2226512
1876,315,45974,958,2,1923874
2104,300,47905,627,2,2008154
2878,316,46677,921,1,2629959
982,329,46465,991,2,1214077
2269,325,42219,412,2,2018479
2279,352,45302,898,2,2158616
2389,345,48945,844,2,2317652
2387,318,44866,739,2,2315073
1459,352,43896,723,0,1294895
959,320,46444,995,1,1123697
1811,316,44302,997,1,1793452
852,345,46547,556,1,905252
1845,339,48285,974,0,1713919
1853,320,49236,830,0,1689557
2028,352,46184,954,1,1979246
2294,340,46966,806,1,2164304
2289,339,47255,557,1,2012179
1835,344,45726,584,2,1769927
2750,348,44042,890,0,2473633
1649,318,47970,935,0,1571041
1153,359,49866,756,2,1328464
1898,306,42522,761,0,1729875
2539,316,44707,623,1,2332975
2264,300,44998,603,0,1957984
1790,336,49971,407,2,1716243
2064,356,45921,871,1,1975845
2684,305,42909,571,0,2279621
2609,325,46537,495,1,2384564
1911,301,46133,705,0,1766181
1617,358,43880,657,1,1591835
2599,331,45279,873,2,2411035
2760,356,46305,699,2,2515477
1688,347,44560,864,0,1479250
2655,353,49527,727,0,2301329
1980,304,47696,509,1,1851920
1467,336,45072,528,2,1485116
1432,330,45826,536,1,1341566
2442,311,47076,938,2,2366647
936,334,46476,563,1,943551
2746,329,44875,748,1,2480630
2497,347,47656,862,1,2279953
1227,305,44906,903,0,1149087
2275,314,46489,550,2,2156113
1618,314,47169,645,0,1488193
2988,315,46491,509,0,2436644
1906,319,47872,984,1,1850743
997,312,48175,674,2,1047868
2795,343,42544,466,0,2337870
1270,341,48855,449,1,1262495
2748,345,49401,914,2,2654505
1728,330,45097,625,2,1702172
2810,333,45625,977,0,2437843
1705,328,45505,905,1,1654454
822,302,43084,554,0,732686
1034,308,42552,879,2,1230787
1924,310,47560,510,0,1611326
1728,310,43153,882,1,1706440
1322,324,45938,673,2,1377157
2608,321,47473,554,1,2302014
1230,341,44245,566,1,1243643
1592,357,48942,418,2,1611717
2429,345,43686,744,1,2243117
2536,308,47835,968,1,2355764
1332,319,42693,693,1,1270087
2546,358,49538,861,2,2430279
2475,320,45790,737,1,2239271
2116,309,48290,851,0,1862242
1712,321,47835,743,0,1542737
1924,328,42497,484,1,1713556
2325,308,44095,788,0,2035673
2127,304,48913,626,0,1831904
1823,339,48794,685,2,1794359
2376,310,47291,683,1,2101807
2178,300,42612,508,2,2006114
2319,352,48842,534,1,2151599
2481,341,45967,690,0,2150186
2797,300,47434,907,2,2729357
1026,357,42375,428,2,1221578
2059,353,42805,793,0,1889212
1672,338,42920,426,0,1379899
1691,359,46970,866,1,1719198
2278,345,45604,412,1,2020287
1836,304,48953,953,0,1665612
1196,348,43443,844,0,1126320
1923,321,49048,623,2,1866426
2878,325,47515,862,2,2715771
1448,352,43545,420,1,1479343
1128,305,43210,786,2,1197204
2282,331,47101,725,0,2089030
1751,347,49812,866,0,1671785
2805,310,44080,921,0,2439222
2816,309,48212,624,0,2372988
2678,346,46687,874,1,2371814
1996,338,47310,857,0,1744425
2572,354,44148,612,0,2171755
961,333,43508,880,0,960642
2551,330,47404,579,0,2176362
1575,311,42913,937,1,1605298
2627,350,44780,926,1,2441346
1851,343,42389,421,2,1798322
1739,315,49732,744,1,1658541
1339,337,46049,976,1,1445011
1621,302,46255,420,1,1542502
2261,301,46987,807,2,2212197
1888,351,45625,886,0,1689424
1155,304,43070,927,2,1384189
1034,310,49326,815,0,1052376
2348,357,47565,671,1,2122908
2896,324,46791,604,0,2362604
917,334,46853,697,2,1099135
2901,334,44570,952,0,2497741
2473,321,45737,507,0,2136285
1867,336,44779,551,1,1735873
2900,321,48298,412,0,2339643
1357,354,42338,478,0,1217872
2615,310,43976,953,1,2488253
2805,331,45436,568,2,2571054
1197,334,42794,648,1,1207760
1474,330,43722,520,0,1286919
1186,344,47693,786,1,1231573
2958,352,45219,838,1,2733128
2864,307,42898,671,0,2497816
1683,319,47263,699,2,1678085
1340,341,42102,872,1,1364021
970,333,44859,557,2,1108146
1539,303,46188,626,1,1496751
2201,317,47070,820,0,1966861
918,350,49453,423,0,836652
2951,303,43447,937,1,2605451
2795,319,46214,969,1,2544638
2505,357,44032,939,1,2295930
2522,308,46032,527,0,2098130
2497,315,48172,493,1,2256186
2244,325,45060,820,0,1980916
2559,337,43534,671,1,2250966
2324,324,49197,883,0,2155918
1464,303,49015,404,1,1392876
832,340,47485,556,2,1038145
2902,358,44847,451,2,2686588
2859,344,45209,642,0,2415514
2351,340,46570,819,1,2193439
1519,337,48706,824,2,1505228
1283,352,45463,479,1,1292464
1772,318,42434,753,1,1684939
1106,313,48947,692,1,1170080
1256,320,43257,515,2,1324616
1130,314,42054,928,0,1200390
1024,302,42930,879,2,1275601
2279,336,47411,687,0,1851595
1882,352,44799,876,2,1930518
1443,349,42311,424,1,1346780
1415,345,47667,830,1,1449630
994,315,49256,677,1,1080195
1288,313,49379,716,2,1357038
2049,308,42956,757,2,2004505
1902,346,48461,675,0,1627776
1947,306,46083,743,2,2000410
2041,313,47996,830,0,1835613
1315,305,46852,958,2,1485158
2425,320,44512,962,1,2268048
1927,314,49254,838,2,1876834
1192,351,47528,861,1,1279743
1430,307,43263,669,2,1586734
2647,333,47951,830,0,2227240
1779,339,44747,420,2,1732639
1233,300,49224,542,1,1252702
1077,331,49280,752,2,1196052
1032,357,44782,864,0,1057343
2352,348,43093,867,0,2078958
2394,350,44786,912,0,2083949
1913,304,44815,863,0,1597202
825,329,45763,793,2,1034659
2217,321,49351,457,0,1882319
1260,319,49870,525,2,1399648
1891,315,46035,860,2,1922095
1806,306,46839,451,2,1728486
2794,306,44323,668,0,2309965
1290,349,42232,495,0,1196400
1872,349,44101,672,2,1859731
1015,301,46352,722,2,1156383
2523,346,44028,972,2,2407444
2392,313,48233,532,1,2202645
958,330,47857,488,1,1054850
1485,349,49926,404,0,1259906
2576,340,43929,756,1,2218477
2852,313,49830,742,2,2639961
2643,304,43458,603,2,2465850
2389,310,43648,972,0,2129086
2496,339,42407,870,0,2113273
2746,304,45340,863,1,2565786
2862,328,47788,896,2,2596957
1945,310,43977,462,0,1630851
2381,304,44413,955,0,2064344
2732,348,48494,638,1,2381710
2557,353,47418,939,0,2146660
2850,331,48025,597,1,2523784
1789,335,47278,429,2,1809204
2341,314,48630,608,1,2106728
1916,318,46937,462,0,1595412
1292,321,47079,456,1,1316037
1419,333,43760,832,1,1464591
2897,355,45597,707,2,2639083
2346,316,43378,974,1,2207854
1662,311,42620,865,0,1576363
2491,324,42929,506,0,2069298
2405,355,48544,999,2,2352489
1379,316,49572,700,2,1444533
2690,309,49263,445,2,2401751
2075,327,47826,476,0,1784644
2655,356,48713,568,1,2381889
2155,317,42974,528,0,1851947
1962,350,46487,667,0,1684337
1156,317,46447,999,2,1450133
2424,344,44853,984,2,2333205
2806,331,43689,818,1,2557239
1669,313,46671,560,1,1607884
1685,355,47789,457,1,1437382
2801,315,48920,783,1,2559510
2213,349,48776,909,0,1974974
2083,357,47407,829,1,1941635
1419,317,46618,739,0,1297361
1682,315,42725,977,0,1590166
1596,316,42161,425,1,1367687
2972,306,49784,988,1,2697075
2096,311,48033,771,0,1872904
1418,333,42658,435,2,1550369
2634,309,49349,930,1,2346074
1044,304,44897,666,2,1210259
1729,320,47668,831,0,1545966
2070,302,48225,418,2,1983747
1319,318,46619,738,0,1266693
807,344,46099,539,2,938451
2819,343,44542,466,2,2667760
1294,334,43578,929,2,1508136
2429,305,45994,768,0,2156060
1862,313,43074,660,0,1623718
986,303,47380,978,0,976561
2677,344,45205,981,1,2481500
2940,350,46044,602,0,2474797
885,317,47718,809,1,964236
936,328,45433,479,0,961304
2921,334,48711,512,1,2588148
2436,351,49384,536,2,2319665
2551,337,42877,588,2,2473367
2587,315,43091,676,0,2229015
1671,319,45059,502,1,1526031
1743,323,49158,506,2,1663156
2426,334,49007,974,2,2424923
1148,343,49723,572,1,1136279
2476,350,47262,730,0,2001310
1996,318,49513,590,2,1802565
809,355,47673,624,0,720742
2261,303,43674,722,0,1953931
1466,332,43608,907,1,1463834
2322,301,44826,947,1,2192832
2976,312,43217,533,2,2650475
1400,357,45052,436,1,1340474
1126,344,47786,492,2,1265383
1779,329,49413,474,2,1732192
1428,333,42313,582,2,1456444
2429,329,42729,858,0,2092190
1073,350,46039,808,0,1099400
1484,353,42383,606,1,1361790
915,323,47884,644,1,1060584
1660,347,43812,732,2,1695002
2803,343,44324,924,2,2596848
1492,332,47191,693,0,1395557
1905,340,47248,672,0,1705532
2961,348,45429,778,2,2767128
2592,309,44745,425,2,2413726
953,317,47644,943,1,1079712
2700,318,43864,490,2,2501224
2227,306,45291,875,2,2244465
2089,356,49173,587,2,2021443
1114,318,46846,968,0,1146367
1864,323,47078,594,0,1520878
904,314,48767,933,1,1046590
2724,340,42227,484,1,2523365
2713,341,48139,991,1,2401125
2016,322,48073,476,2,2028927
2224,351,44064,729,2,2183008
2572,351,47704,782,0,2151461
2760,303,42011,832,2,2595773
2403,337,49765,776,2,2319535
1508,303,43522,740,0,1419467
1450,304,42691,576,1,1372903
1746,340,45705,825,2,1818182
1460,343,43739,823,0,1423387
2946,322,43525,573,0,2536176
1932,339,42069,805,1,1887416
1499,352,48251,481,0,1295547
2838,336,44248,420,1,2509891
1351,310,45123,797,1,1475201
1204,354,47668,729,1,1177471
1261,310,46724,624,1,1274874
2979,312,45330,801,1,2607781
1673,313,49649,837,0,1589150
883,359,43287,671,2,964036
2222,307,47001,679,1,2005053
1020,324,48446,622,1,1176791
2191,317,49080,986,2,2146028
911,350,42575,908,2,1129106
1414,343,49721,741,1,1463845
2381,343,48698,441,2,2208088
1274,317,44172,575,1,1152850
2713,309,49437,644,0,2266081
1070,306,48116,652,2,1272417
2720,359,46954,673,2,2606818
2190,349,42744,733,0,1819965
839,343,44527,410,2,927328
2782,313,48275,551,0,2322661
1793,314,45073,588,1,1653171
2812,315,46210,610,2,2545525
1089,301,46576,496,2,1195403
1078,329,47076,738,0,1002507
1380,329,43024,446,1,1292525
1662,317,48474,456,1,1484858
1053,330,47696,474,0,997657
980,343,42941,653,2,1066685
1480,347,47050,970,2,1619142
1624,312,47756,997,0,1569140
1499,319,42767,569,0,1432773
2149,348,44438,545,0,1875068
2180,349,42833,432,2,2063443
2473,334,44190,914,0,2097801
2438,322,48471,656,1,2276183
2757,341,47877,525,0,2339585
1011,332,42627,512,1,1047530
2338,337,42376,741,1,2159458
1183,334,45886,447,0,1062801
2514,350,42089,763,1,2285904
1141,335,44855,797,2,1275207
2638,319,47116,594,0,2286211
2787,354,43065,720,2,2520592
1643,302,48066,537,2,1565623
2334,307,43058,754,1,2095299
1219,339,45059,469,2,1352891
2788,358,47613,981,2,2671524
2732,331,46072,882,0,2351425
2649,328,44600,458,0,2191630
1105,306,46219,788,2,1257550
1668,301,44104,750,1,1623873
1935,320,44853,738,1,1884129
2234,305,47575,995,0,2108847
1005,327,48378,835,0,985893
1295,347,44655,849,0,1337720
2709,341,48535,776,1,2448285
1845,335,43515,790,0,1670218
1012,331,45017,880,2,1255590
1109,344,47950,513,1,1167988
2791,341,47462,571,2,2647566
1071,352,49811,417,0,898494
2622,345,49343,634,1,2352694
2879,308,46147,709,0,2527771
1242,310,43573,680,1,1196055
1053,322,47597,595,0,888658
1320,349,44536,514,1,1206393
1776,310,45926,796,1,1694008
809,348,44052,962,1,1062486
2383,301,45796,817,2,2214005
1934,302,42631,683,0,1644873
952,310,43861,984,0,953120
2458,349,45952,727,1,2184178
2656,358,43232,740,2,2436302
2014,334,44264,620,1,1754394
2552,357,44047,408,0,2119044
1904,314,42535,481,0,1737362
1694,342,49509,693,1,1643590
1911,310,49884,774,1,1862903
903,330,49568,933,1,1000215
2714,327,45533,814,0,2312776
1806,327,48881,498,1,1691709
1206,331,46825,781,1,1246427
2201,324,49378,903,0,1959759
966,319,45097,846,1,1146323
1308,327,43275,743,2,1375419
2461,324,48146,824,0,2107444
1562,310,45073,705,1,1553187
1480,318,49771,547,1,1450128
2920,327,43025,853,0,2475049
1964,300,48293,432,0,1681380
1381,358,49750,900,2,1417999
1061,304,44051,718,1,1126905
2163,309,47616,592,1,1945597
2131,341,45621,579,1,1929917
2338,345,47990,917,0,2018852
1360,333,46563,790,0,1327044
1899,335,48213,920,0,1737888
2703,301,42200,756,1,2482551
974,317,46403,972,1,1088847
2956,312,45323,863,0,2617018
991,350,45358,498,2,1021038
864,304,48141,547,1,920905
2297,319,47017,969,2,2311806
2367,301,48435,715,0,1957442
1951,310,49321,581,1,1803894
2737,329,44971,946,2,2628604
1168,331,49300,702,1,1177057
1650,331,46978,957,2,1782374
842,357,42585,998,1,1045541
2707,349,45345,403,2,2437276
877,337,45854,506,2,1004894
2624,354,47816,474,0,2158408
2093,327,46604,439,0,1799093
1473,309,45424,518,2,1512116
1500,321,46100,472,1,1415176
1558,354,48436,951,2,1664177
2723,316,42359,603,1,2376176
1701,321,45669,495,1,1508973
1792,342,46309,678,1,1713140
1991,318,45477,542,1,1811741
2276,316,47555,514,0,1892600
1189,323,49182,875,2,1311016
1799,335,49440,532,1,1713221
1324,331,46658,567,0,1236888
2655,357,44812,644,1,2408278
2306,355,42044,676,1,2099890
1458,357,44750,658,0,1286223
1690,345,42633,445,0,1528627
2281,358,47531,745,1,2080283
1251,351,43210,636,2,1363400
2337,335,43749,452,0,1938597
1682,327,48804,547,2,1664317
1112,313,45241,932,1,1062849
1639,357,44768,489,1,1499889
1174,335,42593,632,1,1110429
1250,305,43424,450,1,1220454
1394,308,49875,793,1,1364399
2033,320,48389,613,1,1854756
1299,311,43926,850,2,1535660
1263,357,42856,738,0,1129066
912,329,47988,750,1,1006944
1835,330,42551,684,0,1636524
2724,339,49847,982,2,2550043
939,355,46138,644,1,1057537
2224,303,44888,949,1,2170955
1316,330,49890,983,0,1330862
2747,326,46274,625,0,2295835
2965,357,43480,840,0,2527056
1687,356,48678,873,1,1545525
2141,324,42606,843,0,1892775
849,304,42671,811,0,855359
818,305,45315,645,2,1042153
1525,304,47022,982,1,1624469
2273,350,42016,899,1,2056961
1251,326,47231,949,1,1318545
1964,307,47734,516,0,1683228
1907,308,44873,763,2,1890518
1014,314,49765,603,0,1030690
2349,335,44594,750,1,2155195
927,356,47149,718,0,935202
2645,340,47311,758,1,2413030
1559,306,44484,916,0,1461052
2615,331,48322,888,0,2252628
1160,307,42615,506,1,1242396
1368,346,48820,571,0,1229081
2215,350,49641,918,1,2104620
2397,314,48777,927,0,2136268
2492,336,45205,719,0,2053140
1001,318,44849,436,0,856276
2864,338,46407,898,1,2598039
1317,305,45807,664,0,1163752
2148,358,44072,801,0,1921058
2235,318,48514,617,2,2086643
2141,356,42524,729,2,2081497
1480,327,49486,585,1,1336924
2788,316,48373,780,1,2548832
2291,341,45173,608,1,2098516
1224,318,43473,962,1,1316730
2768,330,44425,687,0,2368208
2512,310,46983,487,0,2092342
1577,314,48020,535,1,1567999
2945,309,45274,557,1,2670701
2626,342,45338,554,2,2429662
1007,322,44007,862,1,1069933
2337,302,46557,619,2,2126733
2459,302,44412,858,1,2269599
821,317,49901,566,1,857415
953,324,44151,721,0,903233
2762,342,45182,961,1,2571618
1018,319,42427,911,2,1168675
1468,357,46564,486,0,1390048
2318,328,43014,944,2,2213048
2867,321,43604,674,1,2446462
1749,349,42869,540,0,1496033
2995,356,48913,752,2,2786930
1202,314,44727,404,1,1169403
1395,338,44852,781,2,1502735
2237,309,42885,733,1,2042085
1957,320,44608,874,2,1935804
2542,354,43273,429,1,2179449
2106,351,49649,746,2,2062988
872,328,46426,993,0,970080
1280,331,43955,892,1,1324053
1359,309,42586,894,1,1347668
1544,312,42200,787,2,1619717
2266,346,46549,652,1,2138345
899,322,49671,429,0,815865
1882,349,45617,741,2,1813981
1212,322,42825,686,2,1338173
1888,330,42110,796,2,1919791
1977,303,44911,908,0,1826202
2808,351,45899,643,0,2432001
1620,348,42907,620,1,1549995
1461,359,47868,555,2,1460848
1359,302,47663,782,0,1214302
2071,320,47328,719,1,1904426
2613,352,45715,772,0,2297734
1409,301,45689,930,0,1300291
824,303,48176,614,0,777436
2828,300,42554,766,1,2490585
1083,314,43903,513,0,1067130
2272,356,42106,599,0,1948305
1100,332,45336,424,0,1019515
1891,305,48369,520,2,1915901
1830,306,44534,402,0,1516569
1616,318,44226,844,2,1719871
882,343,45293,653,0,853222
2720,300,43393,419,2,2549423
2893,338,44684,603,0,2416752
1417,318,44835,756,2,1515897
975,344,42166,527,2,1138536
1989,325,44710,757,2,1929093
1641,343,45624,691,0,1462330
1169,311,44347,573,1,1162749
2618,321,43404,754,2,2520280
2901,312,48178,436,2,2739316
